"SampleNumber","DateReceived","BoxTempNoReceipt","Country","DurabilityDate","TempAtCollection","ConditionOfSample","ProductWeightInPounds","CostOfChicken","TypeOfChicken","PackagingAtmosphere","PackagingDetails","NeckSkinWeightInSample","Test","Result","Units","Species","MethodEvalPhase"
"PO1607277-01","2016-04-04","2","England","2016-04-07","1.4","Satisfactory","1692","4.49","Standard","Modified Atmosphere","Roast-in-bag","16","Campylobacter spp - enumeration cfu/g","100","CFU/g Neck","C. jejuni","1"
"PO1607277-01","2016-04-04","2","England","2016-04-07","1.4","Satisfactory","1692","4.49","Standard","Modified Atmosphere","Roast-in-bag","16","Campylobacter spp - enumeration per Swab","20","CFU/g Back","Campylobacter spp.","1"
"PO1607277-01","2016-04-04","2","England","2016-04-07","1.4","Satisfactory","1692","4.49","Standard","Modified Atmosphere","Roast-in-bag","16","Campylobacter spp - enumeration per Swab","16","CFU/ml Rinse","Campylobacter spp.","1"
"PO1607277-02","2016-04-04","2","England","2016-04-07","1.4","Satisfactory","1866","5.49","Standard","Modified Atmosphere","Roast-in-bag","16","Campylobacter spp - enumeration per Swab","<10","CFU/g Neck","","1"
"PO1607277-02","2016-04-04","2","England","2016-04-07","1.4","Satisfactory","1866","5.49","Standard","Modified Atmosphere","Roast-in-bag","16","Campylobacter spp - enumeration per Swab","475","CFU/g Back","Campylobacter spp.","1"
"PO1607277-02","2016-04-04","2","England","2016-04-07","1.4","Satisfactory","1866","5.49","Standard","Modified Atmosphere","Roast-in-bag","16","Campylobacter spp - enumeration cfu/g","75","CFU/ml Rinse","Campylobacter spp.","1"
"PO1607281-01","2016-04-04","2","England","2016-04-10","1.7","Satisfactory","1696","4.49","Standard","Modified Atmosphere","Roast-in-bag","19","Campylobacter spp - enumeration cfu/g","110","CFU/g Neck","C. jejuni","1"
"PO1607281-01","2016-04-04","2","England","2016-04-10","1.7","Satisfactory","1696","4.49","Standard","Modified Atmosphere","Roast-in-bag","19","Campylobacter spp - enumeration per Swab","100","CFU/g Back","Campylobacter spp.","1"
"PO1607281-01","2016-04-04","2","England","2016-04-10","1.7","Satisfactory","1696","4.49","Standard","Modified Atmosphere","Roast-in-bag","19","Campylobacter spp - enumeration per Swab","6","CFU/ml Rinse","Campylobacter spp.","1"
"PO1607281-02","2016-04-04","2","England","2016-04-09","1.7","Satisfactory","1510","4.49","Standard","Modified Atmosphere","Roast-in-bag","15","Campylobacter spp - enumeration per Swab","400","CFU/g Neck","C. jejuni","1"
"PO1607281-02","2016-04-04","2","England","2016-04-09","1.7","Satisfactory","1510","4.49","Standard","Modified Atmosphere","Roast-in-bag","15","Campylobacter spp - enumeration cfu/g","400","CFU/g Back","Campylobacter spp.","1"
"PO1607281-02","2016-04-04","2","England","2016-04-09","1.7","Satisfactory","1510","4.49","Standard","Modified Atmosphere","Roast-in-bag","15","Campylobacter spp - enumeration cfu/g","140","CFU/ml Rinse","Campylobacter spp.","1"
"PO1607257-01","2016-04-05","2.1","England","2016-04-09","1.4","Satisfactory","1540","3.06","Standard","Modified Atmosphere","Other","11","Campylobacter spp - enumeration cfu/g","682","CFU/g Neck","C. jejuni","1"
"PO1607257-01","2016-04-05","2.1","England","2016-04-09","1.4","Satisfactory","1540","3.06","Standard","Modified Atmosphere","Other","11","Campylobacter spp - enumeration per Swab","5350","CFU/g Back","Campylobacter spp.","1"
"PO1607257-01","2016-04-05","2.1","England","2016-04-09","1.4","Satisfactory","1540","3.06","Standard","Modified Atmosphere","Other","11","Campylobacter spp - enumeration per Swab","1250","CFU/ml Rinse","Campylobacter spp.","1"
"PO1607257-02","2016-04-05","2.1","England","2016-04-10","1.4","Satisfactory","1337","2.66","Standard","Modified Atmosphere","Other","17","Campylobacter spp - enumeration per Swab","50","CFU/g Neck","C. jejuni","1"
"PO1607257-02","2016-04-05","2.1","England","2016-04-10","1.4","Satisfactory","1337","2.66","Standard","Modified Atmosphere","Other","17","Campylobacter spp - enumeration cfu/g","70","CFU/g Back","Campylobacter spp.","1"
"PO1607257-02","2016-04-05","2.1","England","2016-04-10","1.4","Satisfactory","1337","2.66","Standard","Modified Atmosphere","Other","17","Campylobacter spp - enumeration cfu/g","19","CFU/ml Rinse","Campylobacter spp.","1"
"PO1607257-03","2016-04-05","2.1","England","2016-04-10","1.4","Satisfactory","1680","3.61","Standard","Modified Atmosphere","Other","20","Campylobacter spp - enumeration per Swab","364","CFU/g Neck","C. jejuni","1"
"PO1607257-03","2016-04-05","2.1","England","2016-04-10","1.4","Satisfactory","1680","3.61","Standard","Modified Atmosphere","Other","20","Campylobacter spp - enumeration cfu/g","900","CFU/g Back","Campylobacter spp.","1"
"PO1607257-03","2016-04-05","2.1","England","2016-04-10","1.4","Satisfactory","1680","3.61","Standard","Modified Atmosphere","Other","20","Campylobacter spp - enumeration cfu/g","450","CFU/ml Rinse","Campylobacter spp.","1"
"PO1607257-04","2016-04-05","2.1","England","2016-04-09","1.4","Satisfactory","1682","3.62","Standard","Modified Atmosphere","Other","21","Campylobacter spp - enumeration per Swab","297","CFU/g Neck","C. jejuni","1"
"PO1607257-04","2016-04-05","2.1","England","2016-04-09","1.4","Satisfactory","1682","3.62","Standard","Modified Atmosphere","Other","21","Campylobacter spp - enumeration per Swab","1750","CFU/g Back","Campylobacter spp.","1"
"PO1607257-04","2016-04-05","2.1","England","2016-04-09","1.4","Satisfactory","1682","3.62","Standard","Modified Atmosphere","Other","21","Campylobacter spp - enumeration cfu/g","500","CFU/ml Rinse","Campylobacter spp.","1"
"LO1607835-01","2016-04-12","7","England","2016-04-18","2.9","Satisfactory","1564","3.11","Standard","Modified Atmosphere","Other","19","Campylobacter spp - enumeration cfu/g","90","CFU/g Neck","C. jejuni","1"
"LO1607835-01","2016-04-12","7","England","2016-04-18","2.9","Satisfactory","1564","3.11","Standard","Modified Atmosphere","Other","","Campylobacter spp  - enumeration cfu/cm2","30","CFU/ml Rinse","C. jejuni","1"
"LO1607835-01","2016-04-12","7","England","2016-04-18","2.9","Satisfactory","1564","3.11","Standard","Modified Atmosphere","Other","19","Campylobacter spp - enumeration per Swab","<10","CFU/g Back","","1"
